category,classification,base_year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,total_change_pct
Hospital services,shielded from competition,2000,0.0,6.7,16.2,24.9,32.3,39.4,48.5,58.4,70.2,81.8,96.1,108.2,118.8,129.1,140.5,150.4,161.7,174.6,186.7,192.4,204.6,213.7,224.9,238.4,258.0,258.0
College tuition,shielded from competition,2000,0.0,5.1,12.3,21.7,33.2,43.2,52.8,62.3,72.4,82.8,92.3,102.0,111.8,120.7,128.9,136.8,143.2,148.0,153.5,160.8,164.3,166.6,172.4,177.6,182.4,182.4
College textbooks,shielded from competition,2001,,0.0,4.2,11.0,15.5,20.3,28.0,38.6,49.0,60.2,68.8,77.3,89.6,101.7,109.6,122.0,134.2,140.3,142.6,136.9,133.3,135.5,145.9,140.5,140.7,140.7
Child care,shielded from competition,2000,0.0,5.0,10.4,15.4,19.8,25.0,31.8,37.5,43.8,49.0,53.9,58.1,62.0,66.0,69.5,76.2,81.2,85.8,88.8,94.1,99.6,103.4,111.4,123.3,135.3,135.3
Medical care,shielded from competition,2000,0.0,4.8,10.1,15.0,20.8,26.6,31.8,38.8,44.7,49.4,54.6,59.3,65.5,70.7,74.7,79.0,86.0,90.5,94.7,101.5,111.5,115.4,124.7,123.9,130.2,130.2
Average hourly wages,wages,2000,0.0,3.8,6.8,9.6,11.9,15.0,19.5,24.3,28.9,32.8,35.9,38.7,40.8,43.7,47.0,50.1,53.7,57.4,62.1,67.8,76.2,84.8,96.7,106.5,115.0,115.0
Housing,mixed,2000,0.0,4.0,6.3,9.0,11.8,15.4,19.8,23.6,27.6,28.0,27.5,29.2,31.4,34.1,37.5,40.4,43.9,48.2,52.4,56.9,60.3,65.6,77.4,88.8,97.1,97.1
Food & beverage,mixed,2000,0.0,3.1,5.0,7.2,10.9,13.5,16.2,20.8,27.2,29.6,30.7,35.3,38.8,40.8,44.0,46.6,47.1,48.4,50.5,53.3,58.4,64.4,80.2,90.4,94.6,94.6
Overall inflation,reference (all items),2000,0.0,2.8,4.5,6.8,9.7,13.4,17.1,20.4,25.0,24.6,26.6,30.6,33.3,35.3,37.5,37.6,39.4,42.3,45.8,48.5,50.3,57.4,70.0,76.9,82.2,82.2
New cars,exposed to competition,2000,0.0,-0.4,-1.9,-3.4,-4.0,-3.4,-3.6,-4.6,-6.0,-5.0,-3.3,-0.6,1.0,2.1,2.5,3.1,3.2,3.0,2.5,2.9,3.4,9.5,20.8,25.3,24.6,24.6
Clothing,exposed to competition,2000,0.0,-1.8,-4.3,-6.7,-7.1,-7.7,-7.8,-8.2,-8.2,-7.3,-7.8,-5.8,-2.6,-1.7,-1.6,-2.8,-2.7,-3.1,-3.0,-4.3,-8.9,-6.6,-1.9,0.8,1.5,1.5
Cellphone service,exposed to competition,2000,0.0,-10.3,-11.3,-12.1,-12.9,-14.5,-15.0,-15.3,-15.5,-15.4,-17.9,-20.8,-21.5,-22.9,-24.5,-27.3,-28.0,-35.7,-37.4,-38.9,-37.7,-36.6,-36.9,-37.1,-38.0,-38.0
Toys,exposed to competition,2000,0.0,-5.0,-10.9,-17.1,-21.1,-26.5,-29.8,-33.1,-36.6,-40.0,-43.9,-46.4,-49.1,-51.8,-54.8,-57.7,-61.2,-64.6,-68.0,-70.5,-72.4,-72.4,-71.9,-72.2,-73.5,-73.5
Software,exposed to competition,2000,0.0,-28.0,-46.0,-57.2,-62.8,-68.8,-73.6,-76.4,-79.3,-82.1,-83.4,-85.0,-86.4,-87.6,-88.6,-89.6,-90.3,-90.7,-91.1,-91.4,-91.7,-91.4,-91.5,-91.9,-92.2,-92.2
TVs,exposed to competition,2000,0.0,-10.3,-19.6,-30.2,-39.9,-46.8,-55.3,-66.1,-72.0,-78.8,-84.0,-86.7,-89.1,-90.8,-92.1,-93.2,-94.5,-95.3,-96.1,-96.8,-97.3,-97.1,-97.4,-97.7,-97.9,-97.9
